address_line1,address_line2,city,food_type,food_type1,location,number_of_reviews,opening_hour,out_of,phone,price_range,restaurant_name,review_score
King Faisal St, Al Khobar Al Shamalia,Eastern_Province,Restaurants,Restaurants,"King Faisal St, Al Khobar Al Shamalia, Al Khobar 34429 Saudi Arabia",1,+ Add hours,255 of 296 Restaurants in Al Khobar,966 13 864 6458,, Mr Burger,4.0 
4807 Al Khalij Rd, Al Hofuf,Eastern_Province,"Lebanese, Mediterranean, Central Asian", Mediterranean,"4807 Al Khalij Rd, Al Hofuf, Al Ahsa 36362 Saudi Arabia",1,+ Add hours,2 of 3 Lebanese in Al Hofuf,966 13 583 1049,, Beit Misk Restaurant,4.0 
Omar Ibn El-Khattab Street, Dammam 34261 Saudi Arabia,Eastern_Province,", Arabic, American, Fast Food", Arabic,"Omar Ibn El-Khattab Street, Dammam 34261 Saudi Arabia",1,Closed Now:See all hours,7 of 8 American in Dammam,966 53 887 8000, 3 -  18, BRIO Sandwiches,4.0 
King Abdullah Road, Al Hofuf,Eastern_Province,", Cafe", Cafe,"King Abdullah Road, Al Hofuf, Al Ahsa 36365 Saudi Arabia",1,+ Add hours,5 of 5 Cafe in Al Hofuf,966 50 922 1082, 9 -  25,  Sixty Five Degrees,4.0 
alkhobar city, Saudi Arabia,Eastern_Province,", American", American,"alkhobar city, Saudi Arabia, Al Khobar 31952 Saudi Arabia",1,+ Add hours,35 of 40 American in Al Khobar,966 50 011 9700, 25 -  33, Burgers and fries,4.0 
Jeddah Street, Near City Center,Eastern_Province,Restaurants,Restaurants,"Jeddah Street, Near City Center, Al Jubail 31951 Saudi Arabia",4,Closed Now:See all hours,65 of 73 Restaurants in Al Jubail,,, Rames Restaurant,3.5 
Mall Of Dharhan, Dhahran Saudi Arabia,Eastern_Province,Cafe,Cafe,"Mall Of Dharhan, Dhahran Saudi Arabia",1,+ Add hours,8 of 8 Cafe in Dhahran,,, Molten Chocolate,4.0 
Prince Naif Rd Al jawhara, Al Khafji 39254 Saudi Arabia,Eastern_Province,"  , Lebanese, Mediterranean, Arabic", Lebanese,"Prince Naif Rd Al jawhara, Al Khafji 39254 Saudi Arabia",1,Closed Now:See all hours,1 of 1 Lebanese in Al Khafji,966 13 390 0003, 30 -  60, Lebanese Story,4.0 
Amwaj Mall, Dhahran 31952 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Amwaj Mall, Dhahran 31952 Saudi Arabia",5,+ Add hours,40 of 47 Restaurants in Dhahran,966 55 300 0428,, My Little Cake Shop,3.5 
Prince Sultan Ibin Abdulaziz Road, Hafar Al-Batin Saudi Arabia,Eastern_Province,American,American,"Prince Sultan Ibin Abdulaziz Road, Hafar Al-Batin Saudi Arabia",1,Open Now:12:00 PM - 2:00 AM,2 of 2 American in Hafar Al-Batin,966 55 737 8310,, BurgeryNow,4.0 
Prince Fawaz Street 18TH Cross Street, Al Khobar Saudi Arabia,Eastern_Province,"  , Indian", Indian,"Prince Fawaz Street 18TH Cross Street, Al Khobar Saudi Arabia",6,+ Add hours,24 of 31 Indian in Al Khobar,,, Grill Garden Group,3.5 
South Corniche, Al Khobar Saudi Arabia,Eastern_Province,"Chinese, Indian, Arabic", Indian,"South Corniche, Al Khobar Saudi Arabia",2,+ Add hours,12 of 18 Chinese in Al Khobar,966 13 889 1111,, Alkhobar,3.5 
Al Mahal Center, Mohammed Ben Fahed Street,Eastern_Province,"  , Mediterranean", Mediterranean,"Al Mahal Center, Mohammed Ben Fahed Street, Eastern Province Branch, Dammam Near Lulu Hypermarket, Dammam, Dammam Saudi Arabia",1,+ Add hours,15 of 15 Mediterranean in Dammam,966 50 132 1166, 40 -  70, Dar Nasser,4.0 
Doha Al Janubiyah, Dhahran 34455 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Doha Al Janubiyah, Dhahran 34455 Saudi Arabia",1,Closed Now:See all hours,41 of 47 Restaurants in Dhahran,966 13 868 7644,, Ocean basket,4.0 
Prince Nayef bin Abdulaziz, Dammam Saudi Arabia,Eastern_Province,"Middle Eastern, Arabic", Arabic,"Prince Nayef bin Abdulaziz, Dammam Saudi Arabia",3,+ Add hours,19 of 19 Middle Eastern in Dammam,966 55 198 0732,, Muqalat Al Freej,3.5 
Duha Janubiyah - Abduallah Ibn Abbas St., Dhahran 31311 Saudi Arabia,Eastern_Province,Middle Eastern,Middle,"Duha Janubiyah - Abduallah Ibn Abbas St., Dhahran 31311 Saudi Arabia",2,+ Add hours,7 of 7 Middle Eastern in Dhahran,966 13 891 1481,, Sajmania Restaurant,3.5 
King Abdullah Road, Al Hofuf,Eastern_Province,"Lebanese, Mediterranean, Turkish, Arabic", Mediterranean,"King Abdullah Road, Al Hofuf, Al Ahsa Saudi Arabia",1,+ Add hours,3 of 3 Lebanese in Al Hofuf,966 13 580 7772,, Premium Grill,4.0 
Al Ashriah St, Dammam 32414 Saudi Arabia,Eastern_Province,"Indian, Arabic", Arabic,"Al Ashriah St, Dammam 32414 Saudi Arabia",3,Closed Now:See all hours,17 of 20 Indian in Dammam,966 56 901 4117,, View Cafe,3.5 
Prince Met'eb Street, Al Jubail Saudi Arabia,Eastern_Province,"  , Seafood", Seafood,"Prince Met'eb Street, Al Jubail Saudi Arabia",9,+ Add hours,8 of 9 Seafood in Al Jubail,,, Al Ash'hal,3.0 
Prince bin AbdulAziz Rd,,Eastern_Province,  ,Restaurants,"Prince bin AbdulAziz Rd,, Dammam Saudi Arabia",2,Closed Now:See all hours,89 of 103 Restaurants in Dammam,966 13 837 6555,, Saf Saf,3.5 
Tareeq 101 Al Sanaiyah, Al Jubail 31961 Saudi Arabia,Eastern_Province,  ,Restaurants,"Tareeq 101 Al Sanaiyah, Al Jubail 31961 Saudi Arabia",1,+ Add hours,67 of 73 Restaurants in Al Jubail,966 13 356 4018, 38 -  56, La Laguna Pavillon,5.0 
Ibn Batuta Street, Al Khobar 34257 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Ibn Batuta Street, Al Khobar 34257 Saudi Arabia",1,+ Add hours,259 of 296 Restaurants in Al Khobar,966 13 802 1766,, Pizzarella,4.0 
Rashid Mall, Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Rashid Mall, Al Khobar Saudi Arabia",2,+ Add hours,261 of 296 Restaurants in Al Khobar,,, Il Forno,3.5 
Prince Turkey Street, Al Khobar 34422 Saudi Arabia,Eastern_Province,American,American,"Prince Turkey Street, Al Khobar 34422 Saudi Arabia",1,+ Add hours,36 of 40 American in Al Khobar,966 13 831 2142,, Bakers boutique,4.0 
Pepsi Road, Al Khobar 21453 Saudi Arabia,Eastern_Province,"  , American", American,"Pepsi Road, Al Khobar 21453 Saudi Arabia",1,+ Add hours,37 of 40 American in Al Khobar,966 9200 04363, 7 -  200, Helens Bakery,4.0 
Feras AlNadher,,Eastern_Province,"  , Lebanese, Mediterranean, Arabic", Lebanese,"Feras AlNadher,, Al Khobar Saudi Arabia",5,+ Add hours,12 of 13 Lebanese in Al Khobar,966 55 273 3133, 50 -  150, Fatte W Snobar,3.0 
7th Street Corniche Road, Al Khobar 31952 Saudi Arabia,Eastern_Province,", French", French,"7th Street Corniche Road, Al Khobar 31952 Saudi Arabia",1,Closed Now:See all hours,10 of 10 French in Al Khobar,966 13 869 2888, 15 -  25, Vanilla Patisserie - Al Khobar,4.0 
Riyadh Road, Al Qatif 32617 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Riyadh Road, Al Qatif 32617 Saudi Arabia",3,+ Add hours,5 of 8 Restaurants in Al Qatif,966 55 614 7955,, Zahrat Alzaiton,3.5 
P Faisal Bin Fahad ST Pepsi Rd, Al Khobar Saudi Arabia,Eastern_Province,"  , Middle Eastern", Middle Eastern,"P Faisal Bin Fahad ST Pepsi Rd, Al Khobar Saudi Arabia",1,+ Add hours,45 of 50 Middle Eastern in Al Khobar,966 13 899 4408,, Jibney's,4.0 
Dhahran Saudi Arabia,,Eastern_Province,,Restaurants,Dhahran Saudi Arabia,4,+ Add hours,43 of 47 Restaurants in Dhahran,8650024, 75 -  376, Amicci,3.5 
Alqasim Alkhawarizmi St Carlton Al Moaibed Hotel, Al Khobar 31952 Saudi Arabia,Eastern_Province,Mexican,Mexican,"Alqasim Alkhawarizmi St Carlton Al Moaibed Hotel, Al Khobar 31952 Saudi Arabia",1,+ Add hours,5 of 6 Mexican in Al Khobar,966 13 857 5455,, La Fiesta Mexicana,4.0 
King khalid street, Dammam Saudi Arabia,Eastern_Province,Indian,Indian,"King khalid street, Dammam Saudi Arabia",4,+ Add hours,18 of 20 Indian in Dammam,966 13 832 6968,, Madina Restaurant,3.0 
King Fahd Road al Khobar 2nd Floor Lulu Hypermarket, Al Khobar 34611 Saudi Arabia,Eastern_Province,"  , Indian, Chinese", Indian,"King Fahd Road al Khobar 2nd Floor Lulu Hypermarket, Al Khobar 34611 Saudi Arabia",7,Closed Now:See all hours,13 of 18 Chinese in Al Khobar,966 55 822 7566, 5 -  55, India Garden Restaurant,3.0 
Prince Hamoud Street Al aqrabiyah, Al Khobar 31952 Saudi Arabia,Eastern_Province,"  , Mediterranean, Lebanese, Middle Eastern", Mediterranean,"Prince Hamoud Street Al aqrabiyah, Al Khobar 31952 Saudi Arabia",9,Closed Now:See all hours,13 of 13 Lebanese in Al Khobar,966 13 885 5897, 75 -  150, Ziryab,3.0 
Corniche St, Al Khobar Saudi Arabia,Eastern_Province,", Italian, European", Italian,"Corniche St, Al Khobar Saudi Arabia",11,+ Add hours,30 of 31 Italian in Al Khobar,,, Ciro's Pomodoro,3.0 
King Faisal Road, Al Khobar Saudi Arabia,Eastern_Province,,Restaurants,"King Faisal Road, Al Khobar Saudi Arabia",3,+ Add hours,272 of 296 Restaurants in Al Khobar,, 2 -  60, Pizza Hut Fanar Mall,3.5 
Makkah St., Dammam Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Makkah St., Dammam Saudi Arabia",4,Closed Now:See all hours,91 of 103 Restaurants in Dammam,966 13 845 1412,, Amigo,3.5 
Khaled Ibn Al Walid Street, Al Khobar Saudi Arabia,Eastern_Province,", Pizza", Pizza,"Khaled Ibn Al Walid Street, Al Khobar Saudi Arabia",5,+ Add hours,21 of 21 Pizza in Al Khobar,, 2 -  60," Pizza Hut Rakkah,",3.0 
3702 Khaleej Rd,,Eastern_Province,"  , Chinese", Chinese,"3702 Khaleej Rd,, Dammam 32422 Saudi Arabia",10,+ Add hours,93 of 103 Restaurants in Dammam,966 13 835 6314,, Chinese and Grill,3.0 
Prince Nasser Cross -A- Street, Al Khobar Saudi Arabia,Eastern_Province,"Filipino, Seafood, Asian, Grill", Seafood,"Prince Nasser Cross -A- Street, Al Khobar Saudi Arabia",3,+ Add hours,3 of 3 Filipino in Al Khobar,,, Boiling Pot Restaurant,3.0 
King Abdulaziz Road, Hafar Al-Batin Saudi Arabia,Eastern_Province,"Turkish, Arabic", Arabic,"King Abdulaziz Road, Hafar Al-Batin Saudi Arabia",2,Open Now:4:00 PM - 2:00 AM,1 of 1 Turkish in Hafar Al-Batin,966 50 529 9655,, Shawarma Pie,3.0 
Al Hofuf, Al Ahsa 36362 Saudi Arabia,Eastern_Province,", American, Native American, Eastern European", American,"Al Hofuf, Al Ahsa 36362 Saudi Arabia",2,+ Add hours,5 of 6 American in Al Hofuf,966 13 581 1000, 10 -  20, Waka Waka,3.5 
Riyadh Road, Al Hofuf,Eastern_Province,Restaurants,Restaurants,"Riyadh Road, Al Hofuf, Al Ahsa Saudi Arabia",1,+ Add hours,30 of 35 Restaurants in Al Hofuf,,, McDonalds,3.0 
Dhahran Street, Al Hofuf,Eastern_Province,"Mexican, American, Arabic", American,"Dhahran Street, Al Hofuf, Al Ahsa Saudi Arabia",1,+ Add hours,1 of 1 Mexican in Al Hofuf,,, Grill House,3.0 
Dhahran Rd Ahssa Downtown, Al Ahsa 36341 Saudi Arabia,Eastern_Province,"  , Italian, Indian", Italian,"Dhahran Rd Ahssa Downtown, Al Ahsa 36341 Saudi Arabia",1,+ Add hours,7 of 7 Italian in Al Ahsa,966 54 705 4096,, Rosso Lounge,3.0 
Al Jubail 35514 Saudi Arabia,,Eastern_Province,Arabic,Arabic,Al Jubail 35514 Saudi Arabia,1,+ Add hours,5 of 7 Arabic in Al Jubail,966 13 361 1900,, Qila Of Rice,3.0 
2nd Industrial City Mall neighborhood Housing, Dammam 34334 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"2nd Industrial City Mall neighborhood Housing, Dammam 34334 Saudi Arabia",1,Closed Now:See all hours,94 of 103 Restaurants in Dammam,966 13 812 5858,, Golden Oven Bokhari Restaurant,3.0 
67th Street, Makkah Road,Eastern_Province,"  , Italian", Italian,"67th Street, Makkah Road, Dammam 34334 Saudi Arabia",1,Closed Now:See all hours,15 of 16 Italian in Dammam,966 13 846 2001, 50 -  100, Bocca Buona,3.0 
9103 Umar Ibn Al Khattab Street ‏Al Faysaliyah, Dammam 32271 Saudi Arabia,Eastern_Province,Seafood,Seafood,"9103 Umar Ibn Al Khattab Street ‏Al Faysaliyah, Dammam 32271 Saudi Arabia",1,Closed Now:See all hours,5 of 6 Seafood in Dammam,966 54 978 1415,, Freij Abu Issa Seafood,3.0 
Al Faisaliah, 3873 Omar Bin Al Khattab,Eastern_Province,", Arabic", Arabic,"Al Faisaliah, 3873 Omar Bin Al Khattab, Dammam 32272 Saudi Arabia",1,+ Add hours,17 of 17 Arabic in Dammam,966 55 390 1746,, Al Hatab Bakery,3.0 
8402-34426-3289 22 Street, Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"8402-34426-3289 22 Street, Al Khobar Saudi Arabia",1,Closed today:See all hours,275 of 296 Restaurants in Al Khobar,966 3 894 6922,, Meezan Restaurant Malaysian Kitchen,3.0 
Abdulrahman Ibn Muath Street, Al Khobar 34714 Saudi Arabia,Eastern_Province,", American", American,"Abdulrahman Ibn Muath Street, Al Khobar 34714 Saudi Arabia",1,+ Add hours,38 of 40 American in Al Khobar,966 50 562 8885, 5 -  16, The Coffeze,3.0 
Al Taawun,,Eastern_Province,Restaurants,Restaurants,"Al Taawun,, Al Khobar Saudi Arabia",1,Open Now:12:00 AM - 11:59 PM,275 of 296 Restaurants in Al Khobar,,, Janadriyah Hookah Lounge,3.0 
Prince Bandar Street - Cross 17, Al Khobar 31952 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Prince Bandar Street - Cross 17, Al Khobar 31952 Saudi Arabia",1,+ Add hours,275 of 296 Restaurants in Al Khobar,966 3 867 4699,, Golden Fire Restaurant,3.0 
Yanbu Street, Al Khobar 34623 Saudi Arabia,Eastern_Province,Indian,Indian,"Yanbu Street, Al Khobar 34623 Saudi Arabia",1,+ Add hours,27 of 31 Indian in Al Khobar,966 13 894 5979,, Spices Village Restaurant,3.0 
Dharan Mall, Al Khobar Saudi Arabia,Eastern_Province,  ,Restaurants,"Dharan Mall, Al Khobar Saudi Arabia",13,+ Add hours,281 of 296 Restaurants in Al Khobar,,, Papparoti Cafe,3.0 
Qutaibah bin Saad, Safwa 31921 Saudi Arabia,Eastern_Province,International,International,"Qutaibah bin Saad, Safwa 31921 Saudi Arabia",4,Closed Now:See all hours,1 of 1 International in Safwa,966 13 664 4335,, Awafi Restaurant,4.5 
Mohammadiya, Near Hayat Plaza,Eastern_Province,Indian,Restaurants,"Mohammadiya, Near Hayat Plaza, opp. Ramez Company for Shopping Off Price Nayef Bin Abdulaziz Rd, Dammam 31422 Saudi Arabia",3,Closed Now:See all hours,99 of 103 Restaurants in Dammam,966 13 837 7882,, Ruchi Indian Restaurant,4.5 
Ebn 7_aldon, Dammam Saudi Arabia,Eastern_Province,", American, Fast Food, Halal", American,"Ebn 7_aldon, Dammam Saudi Arabia",62,+ Add hours,8 of 8 American in Dammam,,, KFC,3.0 
Prince Talal Bin Abdulaziz Street, Al Hofuf,Eastern_Province,Restaurants,Restaurants,"Prince Talal Bin Abdulaziz Street, Al Hofuf, Al Ahsa 36361 Saudi Arabia",1,Open Now:See all hours,34 of 35 Restaurants in Al Hofuf,,, Joffrey's Cafe,2.0 
Al Imam Ali Ibn Abi Talib Road, Safwa Saudi Arabia,Eastern_Province,"  , Pizza", Pizza,"Al Imam Ali Ibn Abi Talib Road, Safwa Saudi Arabia",3,+ Add hours,1 of 1 Pizza in Safwa,, 2 -  60, Pizza Hut Safwa,2.5 
Mubarraz, Al Hofuf,Eastern_Province,Restaurants,Restaurants,"Mubarraz, Al Hofuf, Al Ahsa Saudi Arabia",3,+ Add hours,35 of 35 Restaurants in Al Hofuf,,, Al Tazaj,2.5 
Prince Faisal Bin Fahd Road Mall of Dhahran, Ground Floor,Eastern_Province,"  , Japanese, Sushi, Asian", Japanese,"Prince Faisal Bin Fahd Road Mall of Dhahran, Ground Floor,  Doha Al Janubiyah, Dhahran 34457 Saudi Arabia",27,+ Add hours,2 of 2 Japanese in Dhahran,,, Yo Sushi,3.0 
Highlights info row image Alkhaleej Road,,Eastern_Province,"  , Indian, Seafood, Eastern European", Indian,"Highlights info row image Alkhaleej Road,, Dammam Saudi Arabia",3,Closed Now:See all hours,20 of 20 Indian in Dammam,966 13 809 9032, 30 -  200, Bait Alrobyan,4.5 
6804 Prince Sultan bin Abdulaziz, Rabwah,Eastern_Province,Indian,Indian,"6804 Prince Sultan bin Abdulaziz, Rabwah, Hafar Al-Batin 4449 3995, Saudi Arabia",1,+ Add hours,2 of 2 Indian in Hafar Al-Batin,966 13 725 2777,, Chef Johnny Restaurant,2.0 
Prince Turkey Street 9TH Street, Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Prince Turkey Street 9TH Street, Al Khobar Saudi Arabia",3,+ Add hours,283 of 296 Restaurants in Al Khobar,,, Iburger Khobar,2.5 
2475 Prince Faisal Bin Fahd Road Al Hada 6583, Al Khobar 34439 Saudi Arabia,Eastern_Province,"Korean, Chinese, Japanese, Barbecue", Chinese,"2475 Prince Faisal Bin Fahd Road Al Hada 6583, Al Khobar 34439 Saudi Arabia",7,Closed Now:See all hours,15 of 18 Chinese in Al Khobar,966 56 335 3296,, Marinade Restaurant,4.0 
6083 Unit 6, Al Wahah,Eastern_Province,"Japanese, Japanese Fusion", Japanese Fusion,"6083 Unit 6, Al Wahah, Uhud Rd Bld, Al Qatif 2220 Saudi Arabia",2,Closed Now:See all hours,1 of 2 Japanese in Al Qatif,966 54 882 2445,, Izumi,5.0 
King Salman bin Abdulaziz rd, Al Khobar Saudi Arabia,Eastern_Province,"American, Steakhouse, International, Native American", Steakhouse,"King Salman bin Abdulaziz rd, Al Khobar Saudi Arabia",1,+ Add hours,39 of 40 American in Al Khobar,966 54 136 8076,, Wayward Burgers,1.0 
Al Raka Street, Al Khobar Saudi Arabia,Eastern_Province,"Mexican, American, European, Portuguese", American,"Al Raka Street, Al Khobar Saudi Arabia",1,+ Add hours,6 of 6 Mexican in Al Khobar,966 56 526 6122,, Chic 'n' Dip,1.0 
Prince Naif Street, Al Ahsa 31982 Saudi Arabia,Eastern_Province,"  , Indian, Thai, Arabic", Indian,"Prince Naif Street, Al Ahsa 31982 Saudi Arabia",6,Closed Now:See all hours,6 of 6 Indian in Al Ahsa,966 13 599 9906, 38 -  113, Lulu Aljazeera Restaurant,3.0 
10th King Saud Street Al Khobar Al Shamalia, Al Khobar 34427 Saudi Arabia,Eastern_Province,", Cafe", Cafe,"10th King Saud Street Al Khobar Al Shamalia, Al Khobar 34427 Saudi Arabia",2,Closed Now:See all hours,44 of 47 Cafe in Al Khobar,, 12 -  18, Three Seeds Coffee Roasters,4.5 
Al Andalus Plaza, Othaim Mall,Eastern_Province,Italian,Restaurants,"Al Andalus Plaza, Othaim Mall, Dammam Saudi Arabia",1,+ Add hours,103 of 103 Restaurants in Dammam,,, Roma Way,5.0 
Al Mallik Mecca Street Jubail City Center, Near Jubail Dawah Center,Eastern_Province,Restaurants,Restaurants,"Al Mallik Mecca Street Jubail City Center, Near Jubail Dawah Center, Between Jubail Center and Internation Market, Al Jubail 35514 Saudi Arabia",4,Closed Now:See all hours,69 of 73 Restaurants in Al Jubail,966 59 664 7822,, Mughal Darbar Restaurant,3.5 
9th Cross, Al Khobar Saudi Arabia,Eastern_Province,"  , Chinese, Asian", Chinese,"9th Cross, Al Khobar Saudi Arabia",13,+ Add hours,16 of 18 Chinese in Al Khobar,966 13 867 4421,, China Town,2.5 
Abdullah Bin Al Harith St. Shati Area - Near Qatif City Mall, Al Qatif 32619 Saudi Arabia,Eastern_Province,"Italian, Japanese, Cafe", Japanese,"Abdullah Bin Al Harith St. Shati Area - Near Qatif City Mall, Al Qatif 32619 Saudi Arabia",1,Closed Now:See all hours,2 of 3 Italian in Al Qatif,966 55 880 5646,, Almoltaqa Alazraq Cafe & Restaurant,1.0 
Prince Metib street, Al Jubail 355142332 Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Seafood", Chinese,"Prince Metib street, Al Jubail 355142332 Saudi Arabia",18,Closed Now:See all hours,8 of 8 Chinese in Al Jubail,966 13 367 2846, 15 -  35, RoyalDine,4.0 
Prince Talal St Al Shamalia, Al Khobar 34425 Saudi Arabia,Eastern_Province,Indian,Indian,"Prince Talal St Al Shamalia, Al Khobar 34425 Saudi Arabia",3,+ Add hours,29 of 31 Indian in Al Khobar,966 56 937 2798,, Al Kabsh,2.5 
20th Street, Al Khobar Saudi Arabia,Eastern_Province,", Middle Eastern", Middle Eastern,"20th Street, Al Khobar Saudi Arabia",1,Closed Now:See all hours,48 of 50 Middle Eastern in Al Khobar,966 13 897 4363, 7 -  20, Abu Hilal Restaurant,5.0 
Prince Turkey Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,"Prince Turkey Street Al Khobar Corniche, Al Khobar 34427 Saudi Arabia",5,Closed Now:See all hours,291 of 296 Restaurants in Al Khobar,,, Popeyes Louisiana Kitchen,2.0 
Prince Mohamed Ibn Fahd Beside AWAL Bank - Alqusur District, Dhahran 34247 Saudi Arabia,Eastern_Province,"American, Fast Food, Native American, South American", Fast Food,"Prince Mohamed Ibn Fahd Beside AWAL Bank - Alqusur District, Dhahran 34247 Saudi Arabia",4,Closed Now:See all hours,9 of 9 American in Dhahran,966 13 833 4905,, Just Fresh Burger,4.0 
Corniche Road, Al Khobar 34611 Saudi Arabia,Eastern_Province,"Chinese, Indian, Asian, Middle Eastern", Indian,"Corniche Road, Al Khobar 34611 Saudi Arabia",6,Open Now:12:00 AM - 11:30 PM,17 of 18 Chinese in Al Khobar,966 56 677 6699,, Asian Tanouri Restaurant,4.5 
2 street Khobar north Near Al Shifa Khobar Polyclinic, Al Khobar 31942 Saudi Arabia,Eastern_Province,"  , Chinese, Indian, Middle Eastern", Chinese,"2 street Khobar north Near Al Shifa Khobar Polyclinic, Al Khobar 31942 Saudi Arabia",2,Closed Now:See all hours,18 of 18 Chinese in Al Khobar,966 54 213 2888, 4 -  20, Mehfil Restaurant,1.0 
Al Wajeha Rd, Fanateer,Eastern_Province,", Cafe", Cafe,"Al Wajeha Rd, Fanateer, Al Jubayl 35814, Al Jubail Saudi Arabia",2,Closed Now:See all hours,4 of 4 Cafe in Al Jubail,966 55 590 9944, 10 -  25, Methods Coffee Shop,3.0 
Prince Faisal Bin Fahed Mall of Dhahran, Al Khobar Saudi Arabia,Eastern_Province,"Italian, Cafe, International, Soups", Cafe,"Prince Faisal Bin Fahed Mall of Dhahran, Al Khobar Saudi Arabia",3,Closed Now:See all hours,31 of 31 Italian in Al Khobar,966 13 868 6444,, Pink Cafe,4.5 
Prince Musaad North khobar, Al Khobar 31952 Saudi Arabia,Eastern_Province,", Cafe", Cafe,"Prince Musaad North khobar, Al Khobar 31952 Saudi Arabia",0,Closed Now:See all hours,,966 50 494 0404, 10 -  25, Sensations Coffee & Co,0
Al Fadhliyah, Othmann bin Ali bin Abi Talib streat ,Eastern_Province,", French, Arabic", French,"Al Fadhliyah, Othmann bin Ali bin Abi Talib streat , Infront of, King faisal hospital, Al Hofuf, Al Ahsa Saudi Arabia",0,Closed Now:See all hours,,966 59 995 9434, 5 -  15, Sikka Crepe,0
Ohud street, Al Qatif Saudi Arabia,Eastern_Province,", Italian, American, Middle Eastern", Italian,"Ohud street, Al Qatif Saudi Arabia",0,Closed Now:See all hours,,966 56 569 7375, 5 -  25, FrozenCups Yogurt & Cafe,0
Prince Turki Street, Al Khobar Saudi Arabia,Eastern_Province,"African, Bar, Cafe, Contemporary", Bar,"Prince Turki Street, Al Khobar Saudi Arabia",0,+ Add hours,,,, Chemistry Coffee,0
Dahran Street, Al Ahsa Saudi Arabia,Eastern_Province,"Cafe, Deli", Deli,"Dahran Street, Al Ahsa Saudi Arabia",0,+ Add hours,,,, Crepe Roll,0
Riyadh Street, Al Ahsa Saudi Arabia,Eastern_Province,Italian,,"Riyadh Street, Al Ahsa Saudi Arabia",0,+ Add hours,,966 56 646 1178,, Lusso Restaurant,0
King Abdullah Road, Al Hofuf,Eastern_Province,", Brazilian, African, Middle Eastern", Brazilian,"King Abdullah Road, Al Hofuf, Al Ahsa 6501 Saudi Arabia",0,+ Add hours,,966 56 338 2081, 8 -  21, The Degree,0
8017 Al Mazruiyyah., Al Hofuf,Eastern_Province,"  , International", International,"8017 Al Mazruiyyah., Al Hofuf, Al Ahsa 36362 Saudi Arabia",0,+ Add hours,,, 30 -  79, Heilbronn Restaurant and Cafe,0
Riyadh Road, Al Hofuf,Eastern_Province,Arabic,,"Riyadh Road, Al Hofuf, Al Ahsa Saudi Arabia",0,+ Add hours,,966 13 580 1799,, Al Agha REstaurant,0
Prince Talal Street, Al Hofuf,Eastern_Province,"  , Italian", Italian,"Prince Talal Street, Al Hofuf, Al Ahsa 31982 Saudi Arabia",0,+ Add hours,,966 13 571 1197, 20 -  60, Cafe Boutiques,0
Al Hofuf, Al Ahsa Saudi Arabia,Eastern_Province,"Indian, Middle Eastern, Arabic", Middle Eastern,"Al Hofuf, Al Ahsa Saudi Arabia",0,+ Add hours,,966 55 196 7794,, Asiana Restaurant,0
Success Street, Al Hofuf,Eastern_Province,Seafood,,"Success Street, Al Hofuf, Al Ahsa 31982 Saudi Arabia",0,+ Add hours,,966 13 533 4007,, Smaklek Restaurant,0
King Abdullah Road, Al Hofuf,Eastern_Province,", Belgian, Swiss, Cafe", Belgian,"King Abdullah Road, Al Hofuf, Al Ahsa 36365 Saudi Arabia",0,+ Add hours,,966 56 514 7111, 7 -  21,  Degree Specialty Coffee,0
Abu Al Hatab Street, Al Mubarraz,Eastern_Province,American,,"Abu Al Hatab Street, Al Mubarraz, Al Ahsa 31982 Saudi Arabia",0,+ Add hours,,966 13 536 4442,, Best Burger,0
Saihat Saudi Arabia,,Eastern_Province,Cafe,,Saihat Saudi Arabia,0,+ Add hours,,966 59 177 2668,, Lady Latte,0
Khaleej Rd, Saihat 32451 Saudi Arabia,Eastern_Province,", American, African, South American", American,"Khaleej Rd, Saihat 32451 Saudi Arabia",0,Closed Now:See all hours,,966 59 793 7180, 10 -  18, Misto Specialty Coffee,0
15th St Alferdws, Saihat Saudi Arabia,Eastern_Province,Fast Food,,"15th St Alferdws, Saihat Saudi Arabia",0,+ Add hours,,966 13 850 0758,, shake'O burger,0
6552 Khaleej Road, Saihat Saudi Arabia,Eastern_Province,", Cafe", Cafe,"6552 Khaleej Road, Saihat Saudi Arabia",0,+ Add hours,,966 54 364 5006, 20 -  35, Dejavu Speciality Coffee,0
4723 King Abdulaziz Rd, Al Firdaws,Eastern_Province,"  , Italian, French, American", Italian,"4723 King Abdulaziz Rd, Al Firdaws, 7402, Saihat 32434 Saudi Arabia",0,+ Add hours,,966 13 856 8811, 22 -  75, New Flavor,0
